path_id,lat,lon,airline,iata,cnt
0,35.04022222,-106.6091944,AA,ABQ,444
0,32.89595056,-97.0372,AA,DFW,444
1,30.19453278,-97.66987194,AA,AUS,166
1,41.979595,-87.90446417,AA,ORD,166
2,41.93887417,-72.68322833,AA,BDL,162
2,32.89595056,-97.0372,AA,DFW,162
3,41.93887417,-72.68322833,AA,BDL,56
3,18.43941667,-66.00183333,AA,SJU,56
4,33.56294306,-86.75354972,AA,BHM,168
4,32.89595056,-97.0372,AA,DFW,168
5,36.12447667,-86.67818222,AA,BNA,56
5,25.79325,-80.29055556,AA,MIA,56
6,42.3643475,-71.00517917,AA,BOS,422
6,32.89595056,-97.0372,AA,DFW,422
7,42.3643475,-71.00517917,AA,BOS,392
7,25.79325,-80.29055556,AA,MIA,392
8,42.3643475,-71.00517917,AA,BOS,430
8,41.979595,-87.90446417,AA,ORD,430
9,42.3643475,-71.00517917,AA,BOS,56
9,18.43941667,-66.00183333,AA,SJU,56
10,42.3643475,-71.00517917,AA,BOS,44
10,18.33730556,-64.97336111,AA,STT,44
11,39.17540167,-76.66819833,AA,BWI,112
11,25.79325,-80.29055556,AA,MIA,112
12,39.17540167,-76.66819833,AA,BWI,56
12,18.43941667,-66.00183333,AA,SJU,56
13,35.21401111,-80.94312583,AA,CLT,360
13,32.89595056,-97.0372,AA,DFW,360
14,38.80580556,-104.70025,AA,COS,278
14,32.89595056,-97.0372,AA,DFW,278
15,39.90237583,-84.219375,AA,DAY,104
15,32.89595056,-97.0372,AA,DFW,104
16,38.85208333,-77.03772222,AA,DCA,588
16,32.89595056,-97.0372,AA,DFW,588
17,39.85840806,-104.6670019,AA,DEN,112
17,25.79325,-80.29055556,AA,MIA,112
18,39.85840806,-104.6670019,AA,DEN,112
18,41.979595,-87.90446417,AA,ORD,112
19,33.64044444,-84.42694444,AA,ATL,580
19,32.89595056,-97.0372,AA,DFW,580
20,30.19453278,-97.66987194,AA,AUS,820
20,32.89595056,-97.0372,AA,DFW,820
21,36.12447667,-86.67818222,AA,BNA,436
21,32.89595056,-97.0372,AA,DFW,436
22,34.20061917,-118.3584969,AA,BUR,208
22,32.89595056,-97.0372,AA,DFW,208
23,39.17540167,-76.66819833,AA,BWI,326
23,32.89595056,-97.0372,AA,DFW,326
24,39.99798528,-82.89188278,AA,CMH,104
24,32.89595056,-97.0372,AA,DFW,104
25,39.85840806,-104.6670019,AA,DEN,558
25,32.89595056,-97.0372,AA,DFW,558
26,32.89595056,-97.0372,AA,DFW,260
26,42.21205889,-83.34883583,AA,DTW,260
27,32.89595056,-97.0372,AA,DFW,136
27,39.64256778,-106.9176953,AA,EGE,136
28,32.89595056,-97.0372,AA,DFW,310
28,40.69249722,-74.16866056,AA,EWR,310
29,32.89595056,-97.0372,AA,DFW,112
29,36.77619444,-119.7181389,AA,FAT,112
30,32.89595056,-97.0372,AA,DFW,336
30,26.07258333,-80.15275,AA,FLL,336
31,32.89595056,-97.0372,AA,DFW,158
31,34.6404475,-86.77310944,AA,HSV,158
32,32.89595056,-97.0372,AA,DFW,324
32,29.98047222,-95.33972222,AA,IAH,324
33,32.89595056,-97.0372,AA,DFW,914
33,33.94253611,-118.4080744,AA,LAX,914
34,32.89595056,-97.0372,AA,DFW,436
34,39.29760528,-94.71390556,AA,MCI,436
35,32.89595056,-97.0372,AA,DFW,500
35,28.42888889,-81.31602778,AA,MCO,500
36,32.89595056,-97.0372,AA,DFW,214
36,35.04241667,-89.97666667,AA,MEM,214
37,32.89595056,-97.0372,AA,DFW,214
37,26.17583333,-98.23861111,AA,MFE,214
38,32.89595056,-97.0372,AA,DFW,560
38,25.79325,-80.29055556,AA,MIA,560
39,32.89595056,-97.0372,AA,DFW,326
39,44.88054694,-93.2169225,AA,MSP,326
40,32.89595056,-97.0372,AA,DFW,16
40,38.50886722,-107.8938333,AA,MTJ,16
41,32.89595056,-97.0372,AA,DFW,56
41,20.89864972,-156.4304578,AA,OGG,56
42,32.89595056,-97.0372,AA,DFW,390
42,35.39308833,-97.60073389,AA,OKC,390
43,32.89595056,-97.0372,AA,DFW,272
43,41.30251861,-95.89417306,AA,OMA,272
44,32.89595056,-97.0372,AA,DFW,825
44,41.979595,-87.90446417,AA,ORD,825
45,32.89595056,-97.0372,AA,DFW,322
45,39.87195278,-75.24114083,AA,PHL,322
46,32.89595056,-97.0372,AA,DFW,550
46,33.43416667,-112.0080556,AA,PHX,550
47,32.89595056,-97.0372,AA,DFW,166
47,37.50516667,-77.31966667,AA,RIC,166
48,32.89595056,-97.0372,AA,DFW,150
48,39.49857611,-119.7680647,AA,RNO,150
49,32.89595056,-97.0372,AA,DFW,500
49,32.73355611,-117.1896567,AA,SAN,500
50,32.89595056,-97.0372,AA,DFW,826
50,29.53369444,-98.46977778,AA,SAT,826
51,32.89595056,-97.0372,AA,DFW,164
51,38.17438889,-85.736,AA,SDF,164
52,32.89595056,-97.0372,AA,DFW,526
52,37.61900194,-122.3748433,AA,SFO,526
53,32.89595056,-97.0372,AA,DFW,318
53,37.36186194,-121.9290089,AA,SJC,318
54,32.89595056,-97.0372,AA,DFW,280
54,40.78838778,-111.9777731,AA,SLC,280
55,32.89595056,-97.0372,AA,DFW,486
55,38.74768694,-90.35998972,AA,STL,486
56,32.89595056,-97.0372,AA,DFW,50
56,36.28186944,-94.30681111,AA,XNA,50
57,42.21205889,-83.34883583,AA,DTW,112
57,25.79325,-80.29055556,AA,MIA,112
58,39.64256778,-106.9176953,AA,EGE,8
58,40.77724306,-73.87260917,AA,LGA,8
59,39.64256778,-106.9176953,AA,EGE,64
59,41.979595,-87.90446417,AA,ORD,64
60,32.89595056,-97.0372,AA,DFW,434
60,31.80666667,-106.3778056,AA,ELP,434
61,40.69249722,-74.16866056,AA,EWR,54
61,33.94253611,-118.4080744,AA,LAX,54
62,40.69249722,-74.16866056,AA,EWR,168
62,25.79325,-80.29055556,AA,MIA,168
63,26.07258333,-80.15275,AA,FLL,112
63,40.63975111,-73.77892556,AA,JFK,112
64,32.89595056,-97.0372,AA,DFW,64
64,40.48118028,-107.2176597,AA,HDN,64
65,32.89595056,-97.0372,AA,DFW,112
65,21.31869111,-157.9224072,AA,HNL,112
66,21.31869111,-157.9224072,AA,HNL,216
66,33.94253611,-118.4080744,AA,LAX,216
67,32.89595056,-97.0372,AA,DFW,308
67,38.94453194,-77.45580972,AA,IAD,308
68,38.94453194,-77.45580972,AA,IAD,166
68,33.94253611,-118.4080744,AA,LAX,166
69,38.94453194,-77.45580972,AA,IAD,112
69,25.79325,-80.29055556,AA,MIA,112
70,29.98047222,-95.33972222,AA,IAH,168
70,25.79325,-80.29055556,AA,MIA,168
71,32.89595056,-97.0372,AA,DFW,214
71,37.64995889,-97.43304583,AA,ICT,214
72,32.89595056,-97.0372,AA,DFW,278
72,39.71732917,-86.29438417,AA,IND,278
73,32.89595056,-97.0372,AA,DFW,24
73,43.60732417,-110.7377389,AA,JAC,24
74,32.89595056,-97.0372,AA,DFW,216
74,30.49405556,-81.68786111,AA,JAX,216
75,30.19453278,-97.66987194,AA,AUS,56
75,40.63975111,-73.77892556,AA,JFK,56
76,32.89595056,-97.0372,AA,DFW,56
76,40.63975111,-73.77892556,AA,JFK,56
77,39.64256778,-106.9176953,AA,EGE,56
77,40.63975111,-73.77892556,AA,JFK,56
78,40.63975111,-73.77892556,AA,JFK,224
78,28.42888889,-81.31602778,AA,MCO,224
79,40.63975111,-73.77892556,AA,JFK,392
79,25.79325,-80.29055556,AA,MIA,392
80,40.63975111,-73.77892556,AA,JFK,56
80,47.44898194,-122.3093131,AA,SEA,56
81,40.63975111,-73.77892556,AA,JFK,278
81,37.61900194,-122.3748433,AA,SFO,278
82,40.63975111,-73.77892556,AA,JFK,56
82,18.33730556,-64.97336111,AA,STT,56
83,40.63975111,-73.77892556,AA,JFK,56
83,27.97547222,-82.53325,AA,TPA,56
84,32.89595056,-97.0372,AA,DFW,569
84,36.08036111,-115.1523333,AA,LAS,569
85,40.63975111,-73.77892556,AA,JFK,112
85,36.08036111,-115.1523333,AA,LAS,112
86,36.08036111,-115.1523333,AA,LAS,222
86,33.94253611,-118.4080744,AA,LAX,222
87,36.08036111,-115.1523333,AA,LAS,280
87,41.979595,-87.90446417,AA,ORD,280
88,30.19453278,-97.66987194,AA,AUS,162
