Date,GOOG,APPL,AMZN,TSLA,NFLX,FB,SBUX
2015-11-06,1511600,33042300,4092200,2445300,10936600,35084300,6616300
2015-11-09,2069800,33871400,4048800,3850900,16154600,26383500,6838300
2015-11-10,1608000,59127900,3489500,4617000,11166400,25031700,6689000
2015-11-11,1366400,45218000,5387300,3347800,11039200,25057100,4437300
2015-11-12,1837200,32525600,4284700,2915900,17568200,20924700,6793800
2015-11-13,2075500,45812400,6261100,3430300,18819400,30278400,8821600
2015-11-16,1905900,38106700,7435900,2925400,19866200,49309200,8096600
2015-11-17,1510900,27616900,4320200,2148700,33016300,26807200,6695300
2015-11-18,1684300,46674700,4469800,2811900,23353600,23836500,7215300
2015-11-19,1327100,43295800,4705200,2504400,19253200,25520600,5154400
2015-11-20,2212300,34287100,3896100,4400700,17977000,22129600,8302500
2015-11-23,1414500,32482500,4385100,2526200,15727000,19897200,8493500
2015-11-24,2333100,42803200,4543400,2480300,18335300,23577300,7908200
2015-11-25,1122100,21388300,2697900,3990800,10980700,15150800,4549900
2015-11-27,838500,13046400,1966800,1949400,6645500,5913100,2447900
2015-11-30,2097600,39180300,5693200,2659800,13894000,20383200,9863800
2015-12-01,2134600,34852400,4751200,3734000,12550800,22781900,10910800
2015-12-02,2230400,33386600,4273500,2981500,24105700,24429100,6587500
2015-12-03,2590600,41569500,5064700,2939600,26647300,23236500,12056100
2015-12-04,2757300,57777000,4534800,2573600,20250400,21224700,9100600
2015-12-07,1812300,32084200,3732800,3144200,23351600,15474900,5967800
2015-12-08,1829500,34309500,3651900,2687600,18591100,20401800,6664900
2015-12-09,2700000,46361400,5158200,3057800,17788800,23517300,8541600
2015-12-10,1984900,29104200,3440200,2067000,13437500,17414500,6601700
2015-12-11,2224400,46886200,5474400,3268700,16105300,26427700,11489300
2015-12-14,2412500,64318700,4329700,2827100,18679300,24648100,13406100
2015-12-15,2666200,53323100,4753400,2244400,11760000,21764300,7842100
2015-12-16,1993300,56238500,3964500,5104300,13181000,22680500,9281800
2015-12-17,1553400,44772800,3681600,3298600,17284900,21675700,9079400
2015-12-18,3148700,96453300,6841300,3014200,17948100,35994200,18099500
2015-12-21,1525700,47590600,3250900,1953200,11670000,16138800,7187500
2015-12-22,1365400,32789400,2664000,1958700,9660900,14597100,6456300
2015-12-23,1565900,32657400,2722900,1555000,9324300,19599700,4510200
2015-12-24,527200,13570400,1093000,710300,3541400,6501800,2215400
2015-12-28,1515300,26704200,3775800,1900200,8406300,13069700,4426400
2015-12-29,1765000,30931200,5735000,2406300,8159200,17179900,5477300
2015-12-30,1293300,25213800,3519000,3697900,8149700,13115000,3973900
2015-12-31,1500900,40635300,3749600,2715000,9273000,18298700,4960900
2016-01-04,3272800,67649400,9314500,6827100,20794800,37912400,13521500
2016-01-05,1950700,55791000,5822600,3186800,17664600,23258200,9617800
2016-01-06,1947000,68457400,5329200,3779100,33045700,25096200,8266300
2016-01-07,2963700,81094400,7074900,3554300,33636700,45172900,11140900
2016-01-08,2450900,70798000,5512900,3628100,18067100,35402300,10427000
2016-01-11,2089300,49739400,4869200,4089700,21865700,29932400,10521100
2016-01-12,2024500,49154200,4724100,3091900,15133500,28395400,12375800
2016-01-13,2501700,62439600,7655200,4126400,24921600,33410600,11303600
2016-01-14,2225800,63170100,7238000,6490700,23664800,48658600,11444100
2016-01-15,3608100,79010000,7784500,5578600,19775100,45935600,15246100
2016-01-19,2268100,53087700,4807200,4038700,35722800,30998300,12289000
2016-01-20,3445000,72334400,7966400,5838600,53009400,59051400,22786400
2016-01-21,2412200,52161500,4952200,3166200,31027500,30518900,20888500
2016-01-22,2011800,65800500,5120100,3124100,26821800,30495400,32820200
2016-01-25,1711700,51794500,4396100,2698700,20321100,32482000,13554300
2016-01-26,1324300,75077000,3743200,4946800,22024700,26877100,8878300
2016-01-27,2194200,133369700,5152900,3617200,25556200,58699400,12491300
2016-01-28,2676400,55678800,14015200,4592800,24562300,107475300,11832400
2016-01-29,3474300,64416500,14677600,2852300,20463900,62739500,13224400
2016-02-01,5139200,40943500,6355100,5297600,19684500,46132700,9529100
2016-02-02,6348100,37357200,6312000,5773600,21906500,59778600,9407400
2016-02-03,6171000,45964300,10048700,7931400,27466000,56919300,12254500
2016-02-04,5145900,46471700,6176600,4363900,19055400,38890200,13909800
2016-02-05,5105700,46418100,9708900,9437600,25929300,76894700,24529000
2016-02-08,4247400,54021400,9825500,9313000,25035600,71229700,21457500
2016-02-09,3604300,44331200,7045900,8575100,25822400,62709000,11535000
2016-02-10,2638000,42343600,6786200,10406500,23146500,45179400,11663900
2016-02-11,3024000,50074700,7397400,14252400,21820300,43670600,12106100
2016-02-12,2141400,40351400,5384800,7235800,19067700,36176800,8680200
2016-02-16,2520000,49057900,5118500,5593800,16356600,45687200,11594800
2016-02-17,2492600,44863200,4824000,5825200,18323800,44073400,11955200
2016-02-18,1883200,39021000,4735000,3887600,17695300,29593500,8494000
2016-02-19,1589300,35374200,4974700,2959400,14259200,32404500,9033600
2016-02-22,1949800,34280800,5566600,5060100,16321800,35709700,8390700
2016-02-23,2009300,31942600,4050800,5984400,12744400,25319300,7064100
2016-02-24,1963600,36255700,6231700,5395600,15972800,34412400,10780900
2016-02-25,1631900,27582700,4510500,5720500,17852900,29906300,6230300
2016-02-26,2243500,28991100,4877000,6065100,16975200,26686200,7473400
2016-02-29,2481100,35216300,4145400,4499000,13663100,32779000,7645100
2016-03-01,2151400,50407100,5038500,6712200,17048800,26817300,9183600
2016-03-02,1629000,33169600,4582200,4862400,19102800,25670200,8856400
2016-03-03,1956800,36955700,2736700,4820500,15303600,21353100,8261900
2016-03-04,1972100,46055100,3416500,6489100,23414600,24938900,8344800
2016-03-07,2985100,35828900,4926900,5329400,23855200,31436400,9199100
2016-03-08,2076300,31561900,4730000,4178700,14797000,25617000,8127400
2016-03-09,1421500,27201700,4377300,3208600,12298700,20493300,9734600
2016-03-10,2829400,33513600,3914300,5183200,16979400,24854300,7014500
2016-03-11,1970800,27408200,3771300,3343100,15114300,20697600,15497600
2016-03-14,1718300,25076100,3454200,4065700,11251900,17249400,9053300
2016-03-15,1721000,40067700,3876800,3180500,9691800,17618500,7428500
2016-03-16,1624400,38303500,3537700,3516700,12630500,24744800,8069400
2016-03-17,1860800,34420700,5928100,3782900,13825000,24241200,7734700
2016-03-18,2980700,44205200,7296900,4711800,15453500,36256900,14313600
2016-03-21,1836500,35502700,5155700,5307800,9578500,18448000,6487200
2016-03-22,1269700,32444400,4000600,4316000,9069900,19001100,8246800
2016-03-23,1432100,25703500,3983700,4948800,8313500,18562000,5794500
2016-03-24,1594900,26133000,5185500,4960900,10671100,17839100,5948300
2016-03-28,1301300,19411400,3121500,3925700,12432200,21351800,5791600
2016-03-29,1902100,31190100,4167100,4004900,15950600,29825300,6031400
2016-03-30,1782400,45601100,3890500,4033000,14705000,33235200,5723500
2016-03-31,1718800,25888400,2681800,8012900,9747500,21207500,5622800
2016-04-01,1576700,25874000,2917400,15997500,14182400,24760500,9401100
2016-04-04,1134200,37356200,2470800,13475300,10940400,48487900,5799900
2016-04-05,1132300,26578700,2308900,9948700,10060900,22962400,4994800
2016-04-06,1050200,26404100,2833500,11679900,9585900,20814600,5654000
2016-04-07,1453200,31801900,3189000,8856200,10774900,20714500,8239200
2016-04-08,1290800,23581700,2591900,7363900,7857600,48497800,5064900
2016-04-11,1220100,29407500,2704300,9161700,7451300,39762300,6103400
2016-04-12,1349700,27232300,2636300,5750800,12310200,26248100,17545500
2016-04-13,1707100,33257300,4228300,4925600,16701700,88227400,9898500
2016-04-14,1131000,25473900,3474300,4120000,9532500,28473300,5150000
2016-04-15,1809300,46939000,2887700,3752400,11746100,20922800,5965300
2016-04-18,1556000,60834000,4336400,4261800,27001500,21092700,7223000
2016-04-19,2030500,32384900,4055900,6357500,55728800,30210500,7283600
2016-04-20,1529200,30611000,2609400,5194100,26613500,21027900,5558800
2016-04-21,3060500,31552500,2596300,2783100,19919400,20875200,12799100
2016-04-22,5951900,33683100,5083900,3786300,15806300,38458200,29836700
2016-04-25,1959200,28031600,2682900,3670300,14985400,21017900,8428000
2016-04-26,2744600,56016200,2521400,3223800,15330900,22521500,8839100
2016-04-27,3098600,114602100,4068800,3205800,12218900,52213100,12390800
2016-04-28,2867300,82242700,7872600,2519000,11474900,87110100,9196600
2016-04-29,2487700,68531500,10310700,5413800,13968000,37140600,12133400
2016-05-02,1645300,48160100,6578500,3843900,12547000,28095200,8616200
2016-05-03,1543800,56831300,4923400,4302200,10593900,24117500,7854300
2016-05-04,1688600,41025500,4574500,8262500,7356800,23448400,6508500
2016-05-05,1683500,35890500,4884100,11254800,10368500,22056700,6215400
2016-05-06,1829300,43458200,4365300,5685200,10433900,26216200,6378700
2016-05-09,1510300,32936400,3982200,4776400,9543700,21138100,5976200
2016-05-10,1563100,33686800,6087000,4065200,11164200,23220000,7918500
2016-05-11,1692100,28719100,7338200,5161900,11692900,22038400,8118900
2016-05-12,1360700,76314700,5048200,3650500,20408100,22035500,6870300
2016-05-13,1314500,44392800,4763400,2822800,11571400,18124300,5466000
2016-05-16,1317100,61259800,5432900,2949400,11247800,31247800,9536200
2016-05-17,2001200,46916900,5121400,2843600,11571300,21328600,10530000
2016-05-18,1766800,42062400,4283200,5617500,13911800,21642300,7468500
2016-05-19,1670200,30442100,3025600,6866300,11450300,20544100,7582800
2016-05-20,1828400,32026000,2916200,9007100,15063000,18944800,8430800
2016-05-23,1320900,38018600,2579200,5093200,13962700,20441000,7322200
2016-05-24,1929500,35140200,3033800,3013800,21246000,20183600,7748700
2016-05-25,1629200,38168800,3267700,3126800,15142900,20019800,8115500
2016-05-26,1542900,56331200,2436800,4064000,17791400,18481300,9439000
